VaccinationDate,age_group,first_dose,second_dose,third_dose,fourth_dose
2021-02-10,0-19,5412,2352,0,0
2021-02-10,60-69,2720,3715,0,0
2021-02-10,80-89,576,828,0,0
2021-02-11,0-19,6407,2292,0,0
2021-02-11,20-29,27405,10585,0,0
2021-02-11,80-89,638,1015,0,0
2021-02-11,30-39,23207,13687,0,0
2021-02-11,50-59,6838,11684,0,0
2021-02-11,40-49,11899,26519,0,0
2021-02-11,70-79,1421,2114,0,0
2021-02-11,90+,136,200,0,0
2021-02-11,60-69,3153,3946,0,0
2021-02-12,80-89,288,485,0,0
2021-02-12,50-59,3479,5890,0,0
2021-02-12,40-49,5915,15146,0,0
2021-02-12,0-19,3093,1162,0,0
2021-02-12,20-29,12986,3867,0,0
2021-02-12,70-79,614,961,0,0
2021-02-12,30-39,11161,7819,0,0
2021-02-12,90+,61,102,0,0
2021-02-12,60-69,1463,2120,0,0
2021-02-13,70-79,382,627,0,0
2021-02-13,80-89,170,278,0,0
2021-02-13,90+,26,72,0,0
2021-02-13,30-39,7338,4647,0,0
2021-02-13,60-69,1031,1315,0,0
2021-02-13,0-19,2472,4048,0,0
2021-02-13,40-49,4293,11653,0,0
2021-02-13,20-29,9128,2378,0,0
2021-02-13,50-59,2595,5389,0,0
2021-02-14,30-39,19927,11316,0,0
2021-02-14,40-49,11653,21940,0,0
2021-02-14,20-29,23338,10020,0,0
2021-02-14,70-79,1667,2020,0,0
2021-02-14,50-59,6971,8976,0,0
2021-02-14,90+,148,213,0,0
2021-02-14,80-89,718,957,0,0
2021-02-14,60-69,3545,3683,0,0
2021-02-14,0-19,6904,9914,0,0
2021-02-15,40-49,12803,20509,0,0
2021-02-15,30-39,21545,12519,0,0
2021-02-15,90+,207,282,0,0
2021-02-15,50-59,7863,9528,0,0
2021-02-15,70-79,1755,2143,0,0
2021-02-15,0-19,7512,12382,0,0
2021-02-15,80-89,814,1045,0,0
2021-02-15,60-69,3875,4029,0,0
2021-02-15,20-29,25125,13219,0,0
2021-02-16,70-79,1821,1977,0,0
2021-02-16,80-89,774,971,0,0
2021-02-16,50-59,7608,8481,0,0
2021-02-16,40-49,12704,19015,0,0
2021-02-16,90+,168,238,0,0
2021-02-16,60-69,3831,3541,0,0
2021-02-16,0-19,8486,14373,0,0
2021-02-16,30-39,21432,13747,0,0
2021-02-16,20-29,26560,15893,0,0
2021-02-17,20-29,20652,15897,0,0
2021-02-17,30-39,15910,12873,0,0
2021-02-17,0-19,6353,15027,0,0
2021-02-17,50-59,5408,7964,0,0
2021-02-17,90+,87,160,0,0
2021-02-17,40-49,9769,18304,0,0
2021-02-17,60-69,2399,3018,0,0
2021-02-17,70-79,975,1623,0,0
2021-02-17,80-89,375,723,0,0
2021-02-18,70-79,1060,1523,0,0
2021-02-18,80-89,390,650,0,0
2021-02-18,0-19,7302,14105,0,0
2021-02-18,30-39,17982,18795,0,0
2021-02-18,40-49,11188,17743,0,0
2021-02-18,50-59,6357,7965,0,0
2021-02-18,60-69,2883,3074,0,0
2021-02-18,90+,69,147,0,0
2021-02-18,20-29,21876,15701,0,0
2021-02-19,30-39,10580,10374,0,0
2021-02-19,70-79,481,616,0,0
2021-02-19,80-89,189,276,0,0
2021-02-19,50-59,3541,3701,0,0
2021-02-19,40-49,6398,9341,0,0
2021-02-19,0-19,4229,6179,0,0
2021-02-19,60-69,1487,1348,0,0
2021-02-19,20-29,12696,6230,0,0
2021-02-19,90+,25,55,0,0
2021-02-20,70-79,439,400,0,0
2021-02-20,90+,29,21,0,0
2021-02-20,0-19,3900,4460,0,0
2021-02-20,30-39,7635,8146,0,0
2021-02-20,50-59,2943,2891,0,0
2021-02-20,80-89,161,147,0,0
2021-02-20,40-49,5227,7713,0,0
2021-02-20,20-29,10154,4058,0,0
2021-02-20,60-69,1140,874,0,0
2021-02-21,90+,173,212,0,0
2021-02-21,40-49,12459,17584,0,0
2021-02-21,20-29,23879,14421,0,0
2021-02-21,0-19,8554,10061,0,0
2021-02-21,80-89,769,824,0,0
2021-02-21,30-39,20600,22698,0,0
2021-02-21,50-59,7315,7616,0,0
2021-02-21,60-69,3814,3247,0,0
2021-02-21,70-79,1836,1740,0,0
2021-02-22,20-29,25499,18512,0,0
2021-02-22,90+,207,245,0,0
2021-02-22,50-59,7714,7651,0,0
2021-02-22,30-39,22747,23546,0,0
2021-02-22,70-79,2126,1765,0,0
2021-02-22,40-49,13010,15169,0,0
2021-02-22,60-69,4181,3230,0,0
2021-02-22,80-89,879,882,0,0
2021-02-22,0-19,8656,9569,0,0
